Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
236670,Wired Headphones,2,11.99,2019-08-31 22:21:00,"359 Spruce St, Seattle, WA 98101"
236671,Bose SoundSport Headphones,1,99.99,2019-08-15 15:11:00,"492 Ridge St, Dallas, TX 75001"
236672,iPhone,1,700.0,2019-08-06 14:40:00,"149 7th St, Portland, OR 97035"
236673,AA Batteries (4-pack),2,3.84,2019-08-29 20:59:00,"631 2nd St, Los Angeles, CA 90001"
236674,AA Batteries (4-pack),2,3.84,2019-08-15 19:53:00,"736 14th St, New York City, NY 10001"
236675,Wired Headphones,1,11.99,2019-08-02 23:54:00,"470 Hill St, San Francisco, CA 94016"
236676,34in Ultrawide Monitor,1,379.99,2019-08-04 19:52:00,"470 Cherry St, Los Angeles, CA 90001"
236677,20in Monitor,1,109.99,2019-08-13 07:16:00,"918 6th St, San Francisco, CA 94016"
236678,Wired Headphones,1,11.99,2019-08-25 20:11:00,"58 9th St, San Francisco, CA 94016"
236679,Macbook Pro Laptop,1,1700.0,2019-08-07 15:43:00,"239 Spruce St, Los Angeles, CA 90001"
236680,LG Washing Machine,1,600.0,2019-08-09 19:38:00,"967 Willow St, San Francisco, CA 94016"
236681,AA Batteries (4-pack),1,3.84,2019-08-26 20:52:00,"295 1st St, Boston, MA 02215"
236682,AA Batteries (4-pack),1,3.84,2019-08-19 12:40:00,"118 Johnson St, Portland, OR 97035"
236683,27in FHD Monitor,1,149.99,2019-08-31 15:47:00,"196 West St, Dallas, TX 75001"
236684,Lightning Charging Cable,1,14.95,2019-08-09 16:50:00,"669 12th St, New York City, NY 10001"
236685,Apple Airpods Headphones,1,150.0,2019-08-23 19:29:00,"238 Highland St, Atlanta, GA 30301"
236686,AAA Batteries (4-pack),1,2.99,2019-08-15 19:13:00,"766 Maple St, Dallas, TX 75001"
236687,USB-C Charging Cable,1,11.95,2019-08-23 12:54:00,"668 Meadow St, New York City, NY 10001"
236688,34in Ultrawide Monitor,1,379.99,2019-08-08 16:06:00,"821 7th St, Los Angeles, CA 90001"
236689,AAA Batteries (4-pack),1,2.99,2019-08-21 10:55:00,"13 Cedar St, San Francisco, CA 94016"
236690,AAA Batteries (4-pack),1,2.99,2019-08-08 12:00:00,"139 River St, San Francisco, CA 94016"
236691,USB-C Charging Cable,1,11.95,2019-08-23 07:34:00,"916 Meadow St, Boston, MA 02215"
236692,USB-C Charging Cable,1,11.95,2019-08-20 13:26:00,"567 Center St, San Francisco, CA 94016"
236693,27in 4K Gaming Monitor,1,389.99,2019-08-12 21:57:00,"173 West St, Portland, OR 97035"
236694,Apple Airpods Headphones,1,150.0,2019-08-14 23:45:00,"854 Sunset St, New York City, NY 10001"
236695,Bose SoundSport Headphones,1,99.99,2019-08-04 19:06:00,"905 Pine St, San Francisco, CA 94016"
236696,Lightning Charging Cable,1,14.95,2019-08-21 00:48:00,"530 Church St, New York City, NY 10001"
236697,AA Batteries (4-pack),1,3.84,2019-08-25 23:13:00,"246 Willow St, San Francisco, CA 94016"
236698,Wired Headphones,1,11.99,2019-08-07 13:40:00,"526 Chestnut St, Dallas, TX 75001"
236699,AA Batteries (4-pack),2,3.84,2019-08-20 21:07:00,"763 Hill St, Atlanta, GA 30301"
236700,Wired Headphones,1,11.99,2019-08-09 08:55:00,"534 North St, Los Angeles, CA 90001"
236701,Apple Airpods Headphones,1,150.0,2019-08-06 10:36:00,"518 Main St, San Francisco, CA 94016"
236702,ThinkPad Laptop,1,999.99,2019-08-23 11:10:00,"615 11th St, Dallas, TX 75001"
236703,Bose SoundSport Headphones,1,99.99,2019-08-08 06:09:00,"861 Adams St, Atlanta, GA 30301"
236704,Flatscreen TV,1,300.0,2019-08-11 08:52:00,"415 Ridge St, San Francisco, CA 94016"
236705,AA Batteries (4-pack),3,3.84,2019-08-11 22:21:00,"27 North St, Austin, TX 73301"
236706,Google Phone,1,600.0,2019-08-14 14:19:00,"621 North St, San Francisco, CA 94016"
236707,AA Batteries (4-pack),2,3.84,2019-08-14 14:06:00,"306 West St, Los Angeles, CA 90001"
236708,Apple Airpods Headphones,1,150.0,2019-08-27 14:00:00,"353 Madison St, San Francisco, CA 94016"
236709,iPhone,1,700.0,2019-08-04 09:00:00,"869 Jackson St, San Francisco, CA 94016"
236710,Macbook Pro Laptop,1,1700.0,2019-08-04 02:46:00,"654 Chestnut St, Austin, TX 73301"
236711,Macbook Pro Laptop,1,1700.0,2019-08-28 17:28:00,"627 Lincoln St, Dallas, TX 75001"
236712,AA Batteries (4-pack),2,3.84,2019-08-30 07:14:00,"548 Jefferson St, Boston, MA 02215"
236713,27in FHD Monitor,1,149.99,2019-08-05 20:00:00,"852 8th St, San Francisco, CA 94016"
236714,27in 4K Gaming Monitor,1,389.99,2019-08-30 09:07:00,"194 Dogwood St, Atlanta, GA 30301"
236715,27in 4K Gaming Monitor,1,389.99,2019-08-23 11:20:00,"628 Jefferson St, Portland, OR 97035"
236716,AA Batteries (4-pack),2,3.84,2019-08-17 20:12:00,"84 Cedar St, San Francisco, CA 94016"
236716,USB-C Charging Cable,1,11.95,2019-08-17 20:12:00,"84 Cedar St, San Francisco, CA 94016"
236717,Google Phone,1,600.0,2019-08-11 12:26:00,"394 12th St, Atlanta, GA 30301"
236718,Apple Airpods Headphones,1,150.0,2019-08-10 13:48:00,"499 7th St, San Francisco, CA 94016"
236719,AAA Batteries (4-pack),1,2.99,2019-08-05 12:09:00,"948 2nd St, Atlanta, GA 30301"
236720,Apple Airpods Headphones,1,150.0,2019-08-24 16:49:00,"881 10th St, Dallas, TX 75001"
