Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
259358,34in Ultrawide Monitor,1,379.99,2019-10-28 10:56:00,"609 Cherry St, Dallas, TX 75001"
259359,27in 4K Gaming Monitor,1,389.99,2019-10-28 17:26:00,"225 5th St, Los Angeles, CA 90001"
259360,AAA Batteries (4-pack),2,2.99,2019-10-24 17:20:00,"967 12th St, New York City, NY 10001"
259361,27in FHD Monitor,1,149.99,2019-10-14 22:26:00,"628 Jefferson St, New York City, NY 10001"
259362,Wired Headphones,1,11.99,2019-10-07 16:10:00,"534 14th St, Los Angeles, CA 90001"
259363,AAA Batteries (4-pack),1,2.99,2019-10-01 18:55:00,"976 Lake St, New York City, NY 10001"
259364,Wired Headphones,1,11.99,2019-10-29 11:02:00,"874 North St, Los Angeles, CA 90001"
259365,Lightning Charging Cable,1,14.95,2019-10-29 11:19:00,"127 12th St, Los Angeles, CA 90001"
259366,Apple Airpods Headphones,1,150.0,2019-10-20 11:52:00,"955 9th St, Los Angeles, CA 90001"
259367,Apple Airpods Headphones,1,150.0,2019-10-16 16:19:00,"742 14th St, San Francisco, CA 94016"
259368,27in FHD Monitor,1,149.99,2019-10-13 13:47:00,"960 Ridge St, Boston, MA 02215"
259369,USB-C Charging Cable,1,11.95,2019-10-26 10:54:00,"538 Johnson St, Portland, OR 97035"
259370,20in Monitor,1,109.99,2019-10-28 23:56:00,"528 Forest St, San Francisco, CA 94016"
259371,iPhone,1,700.0,2019-10-26 12:12:00,"306 Main St, Los Angeles, CA 90001"
259372,Wired Headphones,1,11.99,2019-10-17 11:07:00,"434 Madison St, San Francisco, CA 94016"
259373,27in FHD Monitor,1,149.99,2019-10-31 20:15:00,"924 Church St, San Francisco, CA 94016"
259374,Apple Airpods Headphones,1,150.0,2019-10-17 22:14:00,"784 6th St, Los Angeles, CA 90001"
259375,USB-C Charging Cable,1,11.95,2019-10-10 08:53:00,"557 Forest St, San Francisco, CA 94016"
259376,27in FHD Monitor,1,149.99,2019-10-12 00:03:00,"218 14th St, San Francisco, CA 94016"
259377,Bose SoundSport Headphones,1,99.99,2019-10-23 16:49:00,"88 Main St, Boston, MA 02215"
259378,Lightning Charging Cable,1,14.95,2019-10-18 16:45:00,"997 1st St, Boston, MA 02215"
259379,27in 4K Gaming Monitor,1,389.99,2019-10-09 13:15:00,"148 Lincoln St, San Francisco, CA 94016"
259380,Apple Airpods Headphones,1,150.0,2019-10-19 12:21:00,"424 North St, San Francisco, CA 94016"
259381,ThinkPad Laptop,1,999.99,2019-10-25 08:44:00,"887 12th St, New York City, NY 10001"
259382,Wired Headphones,1,11.99,2019-10-18 14:16:00,"605 Ridge St, New York City, NY 10001"
259383,Apple Airpods Headphones,1,150.0,2019-10-13 12:32:00,"597 6th St, Los Angeles, CA 90001"
259384,ThinkPad Laptop,1,999.99,2019-10-29 23:22:00,"383 Cedar St, Dallas, TX 75001"
259385,Lightning Charging Cable,1,14.95,2019-10-28 15:28:00,"892 1st St, Los Angeles, CA 90001"
259386,Lightning Charging Cable,1,14.95,2019-10-16 21:39:00,"966 Hickory St, Los Angeles, CA 90001"
259387,Bose SoundSport Headphones,1,99.99,2019-10-01 13:58:00,"695 6th St, New York City, NY 10001"
259388,AA Batteries (4-pack),1,3.84,2019-10-12 13:15:00,"948 Forest St, San Francisco, CA 94016"
259389,AAA Batteries (4-pack),1,2.99,2019-10-17 14:14:00,"661 Maple St, Dallas, TX 75001"
259390,Lightning Charging Cable,1,14.95,2019-10-08 12:35:00,"134 Cherry St, Atlanta, GA 30301"
259391,Google Phone,1,600.0,2019-10-24 12:51:00,"374 Hill St, Dallas, TX 75001"
259392,Wired Headphones,1,11.99,2019-10-19 15:26:00,"374 Forest St, Los Angeles, CA 90001"
259393,AA Batteries (4-pack),1,3.84,2019-10-22 20:35:00,"2 13th St, New York City, NY 10001"
259394,AA Batteries (4-pack),1,3.84,2019-10-24 18:58:00,"909 Lake St, Atlanta, GA 30301"
259395,Bose SoundSport Headphones,1,99.99,2019-10-13 13:55:00,"235 Adams St, Atlanta, GA 30301"
259396,AAA Batteries (4-pack),1,2.99,2019-10-23 22:40:00,"218 Spruce St, Austin, TX 73301"
259397,Wired Headphones,1,11.99,2019-10-01 14:39:00,"901 Walnut St, Atlanta, GA 30301"
259398,Bose SoundSport Headphones,1,99.99,2019-10-22 10:20:00,"367 Pine St, Seattle, WA 98101"
259399,AAA Batteries (4-pack),2,2.99,2019-10-31 19:06:00,"263 Willow St, San Francisco, CA 94016"
259400,27in 4K Gaming Monitor,1,389.99,2019-10-19 09:24:00,"628 Forest St, Los Angeles, CA 90001"
259401,Wired Headphones,1,11.99,2019-10-15 23:39:00,"291 Lincoln St, Los Angeles, CA 90001"
259402,AA Batteries (4-pack),3,3.84,2019-10-09 20:27:00,"11 Lakeview St, Seattle, WA 98101"
259403,USB-C Charging Cable,1,11.95,2019-10-25 19:42:00,"255 Cedar St, New York City, NY 10001"
259404,Bose SoundSport Headphones,1,99.99,2019-10-07 19:48:00,"883 5th St, Boston, MA 02215"
259405,Bose SoundSport Headphones,1,99.99,2019-10-07 19:19:00,"698 Center St, Dallas, TX 75001"
259406,AA Batteries (4-pack),1,3.84,2019-10-12 12:01:00,"665 Elm St, Atlanta, GA 30301"
259407,Lightning Charging Cable,1,14.95,2019-10-30 12:09:00,"189 Chestnut St, San Francisco, CA 94016"
259408,34in Ultrawide Monitor,1,379.99,2019-10-21 20:09:00,"36 Pine St, Los Angeles, CA 90001"
259409,27in FHD Monitor,1,149.99,2019-10-03 16:26:00,"854 Main St, Austin, TX 73301"
259410,AA Batteries (4-pack),2,3.84,2019-10-01 21:32:00,"110 Hill St, San Francisco, CA 94016"
259411,AA Batteries (4-pack),1,3.84,2019-10-09 14:47:00,"39 West St, San Francisco, CA 94016"
259412,Apple Airpods Headphones,1,150.0,2019-10-24 18:05:00,"276 North St, Los Angeles, CA 90001"
259413,Bose SoundSport Headphones,1,99.99,2019-10-30 09:54:00,"387 West St, Boston, MA 02215"
259414,Apple Airpods Headphones,1,150.0,2019-10-08 21:01:00,"29 Washington St, San Francisco, CA 94016"
259415,AAA Batteries (4-pack),2,2.99,2019-10-16 19:13:00,"280 8th St, Portland, OR 97035"
259416,Vareebadd Phone,1,400.0,2019-10-10 19:10:00,"680 South St, Dallas, TX 75001"
259417,Wired Headphones,1,11.99,2019-10-08 16:27:00,"908 Washington St, Seattle, WA 98101"
259418,iPhone,1,700.0,2019-10-25 12:06:00,"253 8th St, Austin, TX 73301"
259419,USB-C Charging Cable,1,11.95,2019-10-28 08:13:00,"820 South St, Los Angeles, CA 90001"
259420,Google Phone,1,600.0,2019-10-18 08:54:00,"791 Forest St, Los Angeles, CA 90001"
259420,USB-C Charging Cable,2,11.95,2019-10-18 08:54:00,"791 Forest St, Los Angeles, CA 90001"
259421,Wired Headphones,1,11.99,2019-10-19 16:52:00,"240 Chestnut St, San Francisco, CA 94016"
259422,Google Phone,1,600.0,2019-10-05 04:53:00,"849 Ridge St, San Francisco, CA 94016"
259422,USB-C Charging Cable,1,11.95,2019-10-05 04:53:00,"849 Ridge St, San Francisco, CA 94016"
259423,AA Batteries (4-pack),1,3.84,2019-10-14 15:37:00,"32 12th St, New York City, NY 10001"
259424,USB-C Charging Cable,2,11.95,2019-10-31 22:54:00,"64 Lake St, Atlanta, GA 30301"
259425,Lightning Charging Cable,1,14.95,2019-10-18 11:36:00,"81 Spruce St, Austin, TX 73301"
259426,27in 4K Gaming Monitor,1,389.99,2019-10-17 10:43:00,"595 6th St, Dallas, TX 75001"
259427,iPhone,1,700.0,2019-10-06 21:23:00,"528 13th St, New York City, NY 10001"
259428,AA Batteries (4-pack),1,3.84,2019-10-07 22:09:00,"891 14th St, Los Angeles, CA 90001"
259429,Lightning Charging Cable,1,14.95,2019-10-21 19:52:00,"632 Willow St, San Francisco, CA 94016"
259430,USB-C Charging Cable,1,11.95,2019-10-02 23:59:00,"212 Hill St, San Francisco, CA 94016"
259431,27in FHD Monitor,1,149.99,2019-10-23 13:13:00,"962 South St, Boston, MA 02215"
259432,iPhone,1,700.0,2019-10-20 15:55:00,"47 4th St, Boston, MA 02215"
259433,Bose SoundSport Headphones,1,99.99,2019-10-11 09:01:00,"114 Park St, Boston, MA 02215"
259434,Lightning Charging Cable,1,14.95,2019-10-21 23:05:00,"499 2nd St, Boston, MA 02215"
259435,Wired Headphones,1,11.99,2019-10-17 16:00:00,"664 9th St, Boston, MA 02215"
259436,Wired Headphones,2,11.99,2019-10-26 00:30:00,"23 Walnut St, San Francisco, CA 94016"
259437,AA Batteries (4-pack),1,3.84,2019-10-02 18:52:00,"935 Willow St, Seattle, WA 98101"
259438,iPhone,1,700.0,2019-10-29 09:47:00,"176 5th St, Los Angeles, CA 90001"
259438,Lightning Charging Cable,1,14.95,2019-10-29 09:47:00,"176 5th St, Los Angeles, CA 90001"
259439,USB-C Charging Cable,1,11.95,2019-10-15 09:57:00,"5 Hill St, San Francisco, CA 94016"
259440,AA Batteries (4-pack),1,3.84,2019-10-04 10:22:00,"71 Meadow St, Los Angeles, CA 90001"
259441,AA Batteries (4-pack),1,3.84,2019-10-26 14:32:00,"413 7th St, San Francisco, CA 94016"
259442,USB-C Charging Cable,1,11.95,2019-10-05 19:07:00,"966 14th St, Los Angeles, CA 90001"
259443,Vareebadd Phone,1,400.0,2019-10-01 10:20:00,"875 Lakeview St, Los Angeles, CA 90001"
259444,Google Phone,1,600.0,2019-10-29 14:27:00,"982 8th St, Austin, TX 73301"
259445,USB-C Charging Cable,1,11.95,2019-10-29 15:45:00,"301 4th St, Atlanta, GA 30301"
259446,20in Monitor,1,109.99,2019-10-16 15:01:00,"796 Washington St, Los Angeles, CA 90001"
259447,27in FHD Monitor,1,149.99,2019-10-02 16:55:00,"886 1st St, San Francisco, CA 94016"
259448,AA Batteries (4-pack),2,3.84,2019-10-18 21:47:00,"145 River St, Los Angeles, CA 90001"
259449,AA Batteries (4-pack),1,3.84,2019-10-11 14:31:00,"947 Sunset St, Boston, MA 02215"
259450,AAA Batteries (4-pack),1,2.99,2019-10-16 19:49:00,"796 8th St, San Francisco, CA 94016"
259451,34in Ultrawide Monitor,1,379.99,2019-10-13 19:46:00,"951 Elm St, Dallas, TX 75001"
259452,USB-C Charging Cable,1,11.95,2019-10-27 02:21:00,"709 Madison St, San Francisco, CA 94016"
259453,Flatscreen TV,1,300.0,2019-10-10 12:59:00,"94 Spruce St, Los Angeles, CA 90001"
259454,Wired Headphones,1,11.99,2019-10-02 18:36:00,"387 7th St, New York City, NY 10001"
259455,Lightning Charging Cable,1,14.95,2019-10-13 12:32:00,"750 7th St, San Francisco, CA 94016"
