Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
209921,USB-C Charging Cable,1,11.95,2019-06-23 19:34:00,"950 Walnut St, Portland, ME 04101"
209922,Macbook Pro Laptop,1,1700.0,2019-06-30 10:05:00,"80 4th St, San Francisco, CA 94016"
209923,ThinkPad Laptop,1,999.99,2019-06-24 20:18:00,"402 Jackson St, Los Angeles, CA 90001"
209924,27in FHD Monitor,1,149.99,2019-06-05 10:21:00,"560 10th St, Seattle, WA 98101"
209925,Bose SoundSport Headphones,1,99.99,2019-06-25 18:58:00,"545 2nd St, San Francisco, CA 94016"
209926,Apple Airpods Headphones,1,150.0,2019-06-28 20:04:00,"386 Lake St, Seattle, WA 98101"
209927,Lightning Charging Cable,1,14.95,2019-06-28 00:07:00,"29 Lincoln St, Los Angeles, CA 90001"
209928,Apple Airpods Headphones,1,150.0,2019-06-16 21:30:00,"350 9th St, New York City, NY 10001"
209929,Wired Headphones,1,11.99,2019-06-28 10:56:00,"612 Meadow St, Portland, OR 97035"
209930,27in FHD Monitor,1,149.99,2019-06-02 11:22:00,"625 Ridge St, Los Angeles, CA 90001"
209931,Apple Airpods Headphones,1,150.0,2019-06-24 13:55:00,"761 14th St, New York City, NY 10001"
209932,Flatscreen TV,1,300.0,2019-06-12 14:36:00,"858 8th St, Boston, MA 02215"
209933,AA Batteries (4-pack),1,3.84,2019-06-07 15:39:00,"932 Lakeview St, San Francisco, CA 94016"
209934,AAA Batteries (4-pack),1,2.99,2019-06-13 20:53:00,"387 Dogwood St, Boston, MA 02215"
209935,AAA Batteries (4-pack),1,2.99,2019-06-09 11:13:00,"530 Cedar St, Boston, MA 02215"
209936,34in Ultrawide Monitor,1,379.99,2019-06-15 12:21:00,"769 Dogwood St, Dallas, TX 75001"
209937,AA Batteries (4-pack),1,3.84,2019-06-29 18:01:00,"675 Maple St, Dallas, TX 75001"
209938,iPhone,1,700.0,2019-06-15 12:29:00,"766 Meadow St, Seattle, WA 98101"
209938,Wired Headphones,1,11.99,2019-06-15 12:29:00,"766 Meadow St, Seattle, WA 98101"
209939,Google Phone,1,600.0,2019-06-08 16:55:00,"313 South St, San Francisco, CA 94016"
209940,34in Ultrawide Monitor,1,379.99,2019-06-26 15:24:00,"990 South St, Atlanta, GA 30301"
209941,Wired Headphones,1,11.99,2019-06-27 11:18:00,"486 13th St, Boston, MA 02215"
209942,27in 4K Gaming Monitor,1,389.99,2019-06-19 13:52:00,"874 Wilson St, Austin, TX 73301"
209943,AAA Batteries (4-pack),3,2.99,2019-06-23 16:19:00,"158 Willow St, Los Angeles, CA 90001"
209944,27in FHD Monitor,1,149.99,2019-06-02 19:10:00,"916 Lake St, Austin, TX 73301"
