Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
278797,Wired Headphones,1,11.99,2019-11-21 09:54:00,"46 Park St, New York City, NY 10001"
278798,USB-C Charging Cable,2,11.95,2019-11-17 10:03:00,"962 Hickory St, Austin, TX 73301"
278799,Apple Airpods Headphones,1,150.0,2019-11-19 14:56:00,"464 Cherry St, Los Angeles, CA 90001"
278800,27in FHD Monitor,1,149.99,2019-11-25 22:24:00,"649 10th St, Seattle, WA 98101"
278801,Bose SoundSport Headphones,1,99.99,2019-11-09 13:56:00,"522 Hill St, Boston, MA 02215"
278802,USB-C Charging Cable,1,11.95,2019-11-14 20:34:00,"154 2nd St, San Francisco, CA 94016"
278803,Lightning Charging Cable,1,14.95,2019-11-11 08:05:00,"724 5th St, San Francisco, CA 94016"
278804,Bose SoundSport Headphones,1,99.99,2019-11-15 11:48:00,"866 Sunset St, Austin, TX 73301"
278805,Lightning Charging Cable,1,14.95,2019-11-27 11:50:00,"670 Elm St, San Francisco, CA 94016"
278806,Bose SoundSport Headphones,1,99.99,2019-11-19 19:12:00,"174 2nd St, Boston, MA 02215"
278806,ThinkPad Laptop,1,999.99,2019-11-19 19:12:00,"174 2nd St, Boston, MA 02215"
278807,ThinkPad Laptop,1,999.99,2019-11-25 21:52:00,"240 Elm St, Austin, TX 73301"
278808,AAA Batteries (4-pack),1,2.99,2019-11-23 13:19:00,"155 Highland St, Boston, MA 02215"
278809,AA Batteries (4-pack),1,3.84,2019-11-17 12:38:00,"969 13th St, Dallas, TX 75001"
278810,USB-C Charging Cable,1,11.95,2019-11-03 16:55:00,"454 Cherry St, Boston, MA 02215"
278811,Wired Headphones,1,11.99,2019-11-06 16:01:00,"99 Elm St, San Francisco, CA 94016"
278811,Apple Airpods Headphones,1,150.0,2019-11-06 16:01:00,"99 Elm St, San Francisco, CA 94016"
278812,Apple Airpods Headphones,1,150.0,2019-11-17 20:08:00,"601 Church St, Seattle, WA 98101"
278813,Macbook Pro Laptop,1,1700.0,2019-11-09 22:40:00,"131 6th St, Boston, MA 02215"
278814,AA Batteries (4-pack),3,3.84,2019-11-16 16:45:00,"419 Hill St, Boston, MA 02215"
